id,answer,question_type,grade,choices,question,nhan_biet,thong_hieu,van_dung,van_dung_cao,dang_cau_hoi,google/gemma-1.1-2b-it_response,google/gemma-1.1-2b-it_answer
history-2022-302-35,A,multiple_choice,12.0,"['Có sự linh hoạt, sáng tạo trong phương án tác chiến.', 'Đánh bại cuộc tấn công của Pháp vào cơ quan đầu não kháng chiến.', 'Có ý nghĩa quyết định đến thắng lợi cuối cùng trên mặt trận ngoại giáo.', 'Sử dụng cách đánh công kiên vào tập đoàn cứ điểm.']",Chiến dịch Biên giới thu-đông (1950) và chiến dịch Điện Biên Phủ (1954) ở Việt Nam có điểm giống nhau nào sau đây?,,,1.0,,"So sánh, đối chiếu",C. Có ý nghĩa quyết định đến thắng lợi cuối cùng trên mặt trận ngoại giáo.,C
history-2022-304-37,A,multiple_choice,12.0,"['Sử dụng đòn tiến công chiến lược của lực lượng chính quy.', 'Có ý nghĩa quyết định đến thắng lợi cuối cùng trên mặt trận ngoại giao.', 'Đánh bại cuộc tấn công của Pháp vào cơ quan đầu não kháng chiến.', 'Sử dụng phương pháp đánh công kiên vào tập đoàn cứ điểm.']",Chiến dịch Biên giới thu-đông (1950) và chiến dịch Điện Biên Phủ (1954) ở Việt Nam có điểm giống nhau nào sau đây?,,,1.0,,"So sánh, đối chiếu",B. Có ý nghĩa quyết định đến thắng lợi cuối cùng trên mặt trận ngoại giao.,B
history-2020-304-21,A,multiple_choice,12.0,"['sự bất lực của quân đội Sài Gòn', 'nhiệm vụ ""đánh cho Mĩ cút"" đã hoàn thành', 'khả năng can thiệp trở lại của Mĩ rất cao', 'quân đội Sài Gòn đã tan rã hoàn toàn']",Chiến thắng Phước Long (tháng 1-1975) của quân dân Việt Nam cho thấy,,,1.0,,Đánh giá,A. sự bất lực của quân đội Sài Gòn,A
history-2020-301-32,A,multiple_choice,12.0,"['khả năng thắng lớn của quân giải phóng.', 'quân đội Sài Gòn đã tan rã hoàn toàn.', 'khả năng can thiệp trở lại của Mĩ rất cao.', 'nhiệm vụ “đánh cho Mĩ cút” đã hoàn thành.']",Chiến thắng Phước Long (tháng 1-1975) của quân dân Việt Nam cho thấy,,,1.0,,Đánh giá,A.  Chiến thắng Phước Long (tháng 1-1975) của quân dân Việt Nam cho thấy khả năng thắng lớn của quân giải phóng.,A
history-2020-302-23,A,multiple_choice,12.0,"['sức mạnh to lớn của quân giải phóng.', 'quân đội Sài Gòn đã tan rã hoàn toàn.', 'nhiệm vụ ""đánh cho Mĩ cút"" đã hoàn thành.', 'khả năng can thiệp trở lại của Mĩ rất cao.']",Chiến thắng Phước Long (tháng 1-1975) của quân dân Việt Nam cho thấy,,,1.0,,Đánh giá,A.  The victory of Phuoc Long (1975) demonstrated the immense strength of the Vietnamese resistance.,A
history-2020-303-25,B,multiple_choice,12.0,"['quân đội Sài Gòn đã tan rã hoàn toàn.', 'sự suy yếu của quân đội Sài Gòn.', 'khả năng can thiệp trở lại của Mĩ rất cao.', 'nhiệm vụ “đánh cho Mĩ cút” đã hoàn thành.']",Chiến thắng Phước Long (tháng 1-1975) của quân dân Việt Nam cho thấy,,,1.0,,Đánh giá,B. sự suy yếu của quân đội Sài Gòn.,B
history-2020-303-11,D,multiple_choice,12.0,"['làm thất bại chiến tranh cục bộ.', 'làm thất bại chiến tranh tổng lực.', 'làm thất bại chiến tranh đặc biệt.', 'bảo vệ an toàn cơ quan đầu não kháng chiến.']",Chiến thắng Việt Bắc thu-đông năm 1947 của quân dân Việt Nam đã,,1.0,,,Kết quả / Ý nghĩa / Vai trò,"**B. làm thất bại chiến tranh tổng lực.**
 
Explanation:
Chiến thắng Việt Bắc thu-đông năm 1947 của quân dân Việt Nam đã làm thất bại chiến tranh tổng lực của Pháp và mở ra",B
history-2020-301-1,D,multiple_choice,12.0,"['làm thất bại chiến tranh tổng lực.', 'làm thất bại chiến tranh cục bộ.', 'làm thất bại chiến tranh đặc biệt.', 'cho thấy bộ đội chủ lực ngày càng trưởng thành.']",Chiến thắng Việt Bắc thu-đông năm 1947 của quân dân Việt Nam đã,,1.0,,,Kết quả / Ý nghĩa / Vai trò,"**B. làm thất bại chiến tranh cục bộ.**

**Explanation:**

Chiến thắng Việt Bắc thu-đông năm 1947 của quân dân Việt Nam đã làm thất bại chiến tranh cục bộ ở Việt Nam, buộc thực",B
history-2022-301-34,B,multiple_choice,12.0,"['sức mạnh của quân chủ lực khi tấn công vào tổ chức phòng ngự mạnh của đối phương.', 'vai trò của trận quyết chiến có ý nghĩa xoay chuyển cục diện chiến tranh.', 'giá trị của trận quyết chiến chiến lược đánh dấu cuộc kháng chiến kết thúc thắng lợi.', 'ý nghĩa của trận phân công lớn nhất trong cuộc chiến tranh bảo vệ Tổ quốc.']","Chiến thắng Điện Biên Phủ (1954) và thắng lợi của trận “Điện Biên Phủ trên không"" (1972) ở Việt Nam đều cho thấy:",,,,1.0,"So sánh, đối chiếu","[B] Both victories were decisive in forcing the opponent to accept unfavorable political and diplomatic solutions. This shows that the military front played the decisive role, laying the foundation for political and diplomatic victories.",B
history-2022-303-34,B,multiple_choice,12.0,"['giá trị của trận quyết chiến chiến lược đánh dấu kháng chiến kết thúc thắng lợi', 'vai trò quyết định của mặt trận quân sự trong mối quan hệ với chính trị và ngoại giao.', 'ý nghĩa chiến lược của trận phản công lớn nhất trong cuộc chiến tranh bảo vệ Tổ quốc', 'sức mạnh của quân chủ lực khi tấn công vào tổ chức phòng ngự mạnh của đối phương']",Chiến thắng Điện Biên Phủ (1954) và thắng lợi của trận “Điện Biên Phủ trên không” (1972) ở Việt Nam đều cho thấy,,,,1.0,Đánh giá,B. vai trò quyết định của mặt trận quân sự trong mối quan hệ với chính trị và ngoại giao,B
history-2020-303-3,D,multiple_choice,12.0,"['Rove.', 'Bôlae.', 'Đờ Lát đơ Tátxinhi.', 'Nava.']",Chiến thắng Điện Biên Phủ năm 1954 của quân dân Việt Nam đã làm phá sản hoàn toàn kế hoạch nào sau đây của thực dân Pháp?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"**Answer: B**

**Explanation:**

Chiến thắng Điện Biên Phủ đã giúp quân dân Việt Nam đánh bại kế hoạch Rove của thực dân Pháp, buộc chúng phải thay đổi kế hoạch và chấp nhận sự hiện diện của quân",B
history-2022-304-40,A,multiple_choice,12.0,"['Cũng cố quyết tâm chiến lược giải phóng hoàn toàn miền Nam.', 'Chuyển cách mạng miền Nam từ thế giữ gìn lực lượng sang thế tiến công.', 'Lần đầu khẳng định bạo lực là con đường giải phóng miền Nam.', 'Buộc Mĩ xuống thang chiến tranh và chấp nhận đàm phán tại Hội nghị Pari.']",Chiến thắng Đường 14-Phước Long (đầu năm 1975) có tác động nào sau đây đối với tiến trình cách mạng miền Nam Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"**Answer: [B]**

**Explanation:**

Following the victory of the Battle of Dien Bien Phu, the South Vietnamese government shifted its focus from guerrilla warfare to a more conventional military strategy. This paved the way for the gradual advancement of South Vietnam",B
history-2024-303-26,D,multiple_choice,12.0,"['Tác động từ sự tan rã của trật tự thế giới hai cực Ianta.', 'Sự xuất hiện, hoạt động của Tổ chức Hiệp ước Vácsava.', 'Sự xuất hiện của Tổ chức Hiệp ước Bắc Đại Tây Dương.', 'Mâu thuẫn giữa các nước đế quốc về vấn đề thuộc địa.']",Chiến tranh thế giới thứ hai (1939 – 1945) bùng nổ là do nguyên nhân nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"B. The emergence, activity of the League of Nations.",B
history-2024-304-28,D,multiple_choice,12.0,"['Những tác động từ sự tan rã của trật tự thế giới hai cực Ianta.', 'Mĩ và Liên Xô đã tuyên bố chấm dứt Chiến tranh lạnh.', 'Mĩ giúp các nước Tây Âu thực hiện “Kế hoạch Mácsan"".', 'Tác động của cuộc khủng hoảng kinh tế thế giới 1929 – 1933.']",Chiến tranh thế giới thứ hai (1939 – 1945) bùng nổ là do nguyên nhân nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,"D. Tác động của cuộc khủng hoảng kinh tế thế giới 1929 – 1933. 
 
Explanation:
Chiến tranh thế giới thứ hai bùng nổ vào năm 1939",D
history-2020-304-5,B,multiple_choice,12.0,"['Cao Bằng.', 'Điện Biên Phủ.', 'Đông Khê.', 'Thất Khê.']","Cuối năm 1953, thực dân Pháp chọn địa bàn nào sau đây để xây dựng thành tập đoàn cứ điểm mạnh nhất Đông Dương?",1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"B. **Điện Biên Phủ.** 
 
Explanation: 
After the defeat of France in the Battle of Dien Bien Phu in 1954, the French colonial government decided to establish a strong defensive base at Điện Bi",B
history-2023-303-29,D,multiple_choice,12.0,"['Đã mở ra một kỉ nguyên mới trong lịch sử nước Nga.', 'Lật đổ Chính phủ tư sản lâm thời.', 'Đưa nước Nga chuyển sang chế độ xã hội chủ nghĩa.', 'Lật đổ chế độ quân chủ chuyên chế.']",Cuộc Cách mạng tháng Hai năm 1917 ở nước Nga đã đạt được kết quả nào sau đây?,,1.0,,,Kết quả / Ý nghĩa / Vai trò,B. Lật đổ Chính phủ tư sản lâm thời.,B
history-2020-304-25,A,multiple_choice,12.0,"['""xuống thang"" chiến tranh trên cả hai miền Nam-Bắc Việt Nam', '""xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam', 'tuyên bố “Mĩ hóa"" trở lại cuộc chiến tranh xâm lược Việt Nam', 'ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"B. ""xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam",B
history-2020-302-30,C,multiple_choice,12.0,"['ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.', 'tuyên bố ""Mĩ hóa"" trở lại cuộc chiến tranh xâm lược Việt Nam.', '""xuống thang"" chiến tranh và chấp nhận đến đàm phán ở Pari.', '""xuống thang"" chiến tranh và kí kết Hiệp định Pari về Việt Nam.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"C. ""xuống thang"" chiến tranh và chấp nhận đến đàm phán ở Pari.",C
history-2020-303-23,B,multiple_choice,12.0,"['ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.', '“xuống thang” chiến tranh trên cả hai miền Nam-Bắc Việt Nam.', '“xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam.', 'tuyên bố “Mĩ hóa” trở lại cuộc chiến tranh xâm lược Việt Nam.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,B. “xuống thang” chiến tranh trên cả hai miền Nam-Bắc Việt Nam.,B
history-2020-301-23,B,multiple_choice,12.0,"['“xuống thang” chiến tranh và kí kết Hiệp định Pari về Việt Nam.', '“xuống thang” chiến tranh và chấp nhận đến đàm phán ở Pari.', 'tuyên bố “Mĩ hóa” trở lại cuộc chiến tranh xâm lược Việt Nam.', 'ngừng hẳn viện trợ quân sự cho chính quyền và quân đội Sài Gòn.']",Cuộc Tổng tiến công và nổi dậy Mậu Thân năm 1968 của quân dân Việt Nam đã buộc chính quyền Mĩ phải,,,1.0,,Kết quả / Ý nghĩa / Vai trò,D. Stop providing military aid and military support to the government and the South Vietnamese military.,D
history-2020-304-38,D,multiple_choice,12.0,"['Tạo điều kiện cho giai cấp công nhân ra đời.', 'Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.', 'Cơ cấu giai cấp chuyển biến sâu sắc hơn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"C. Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn. 

Explanation:
The second French colonization of Indochina (1919-1929) had a devastating impact on Vietnam. It led to the complete abolition",C
history-2020-303-37,B,multiple_choice,12.0,"['Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Cơ cấu ngành kinh tế chuyển biến rõ nét hơn.', 'Tạo điều kiện cho giai cấp công nhân ra đời.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"B. Cơ cấu ngành kinh tế chuyển biến rõ nét hơn. 

The exploitation of French Indochina (1919-1929) had significant effects on Vietnam. It created new economic structures and opportunities for the working class",B
history-2020-301-38,D,multiple_choice,12.0,"['Tạo cơ sở cho khuynh hướng tư sản xuất hiện.', 'Tạo điều kiện cho giai cấp công nhân ra đời.', 'Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn.', 'Cơ cấu xã hội chuyển biến sâu sắc hơn.']",Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) có tác động nào sau đây đến Việt Nam?,,,1.0,,Kết quả / Ý nghĩa / Vai trò,"C. Quan hệ sản xuất phong kiến bị xóa bỏ hoàn toàn. 

Explanation:
Cuộc khai thác thuộc địa lần thứ hai của thực dân Pháp ở Đông Dương (1919-1929) đã làm thay đổi",C
history-2024-304-17,B,multiple_choice,12.0,"['Chủ nô.', 'Công nhân.', 'Nô lệ.', 'Nông dân.']",Cuộc khai thác thuộc địa lần thứ nhất (1897 – 1914) của thực dân Pháp ở Việt Nam dẫn đến sự ra đời của giai cấp nào sau đây?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,"C. Nô lệ.

Explanation:

The first French colonization of Vietnam (1897-1914) resulted in the emergence of the slave class.",C
history-2021-304-39,D,multiple_choice,12.0,"['Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyên.', 'Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Có hình thức khởi nghĩa giành chính quyền của quần chúng.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu",C. Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.,C
history-2021-301-31,C,multiple_choice,12.0,"['Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Nằm trong tiến trình cách mạng dân tộc dân chủ nhân dân.', 'Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu",B. Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.,B
history-2021-303-39,B,multiple_choice,12.0,"['Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Có sự kết hợp hai địa bàn chiến lược nông thôn và thành thị.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu","D. Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc. 

Explanation:
The common feature of the anti-American resistance, the liberation movement, and the anti-colonial struggle in Vietnam was that they were all",D
history-2021-302-37,D,multiple_choice,12.0,"['Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.', 'Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.', 'Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.', 'Mang tính chất cách mạng dân tộc dân chủ nhân dân.']","Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?",,,1.0,,"So sánh, đối chiếu",B. Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.,B
history-2023-302-8,A,multiple_choice,12.0,"['Bãi Sậy', 'Vĩnh Thạnh', 'Ba Tơ', 'Trà Bồng']",Cuộc khởi nghĩa nào sau đây nằm trong phong trào Cần vương chống Pháp cuối thế kỉ XIX ở Việt Nam?,1.0,,,,Trắc Nghiệm/Nội dung Ngắn,B. Vĩnh Thạnh,B
history-2021-302-40,C,multiple_choice,12.0,"['Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Nằm trong tiến trình giải phóng dân tộc do Đảng Cộng sản lãnh đạo.', 'Có sự kết hợp chặt chẽ giữa đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,C. Nằm trong tiến trình giải phóng dân tộc do Đảng Cộng sản lãnh đạo.,C
history-2021-301-38,B,multiple_choice,12.0,"['Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Là bước chuẩn bị cho thắng lợi của cách mạng giải phóng dân tộc.', 'Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,B. Là bước chuẩn bị cho thắng lợi của cách mạng giải phóng dân tộc.,B
history-2021-304-32,C,multiple_choice,12.0,"['Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.', 'Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.', 'Là một bước thắng lợi để tiến lên hoàn thành giải phóng dân tộc.', 'Có sự kết hợp chặt chẽ đấu tranh chính trị với đấu tranh vũ trang.']",Cuộc vận động dân chủ 1936-1939 ở Việt Nam là phong trào cách mạng vì một trong những lí do nào sau đây?,,1.0,,,Bối cảnh/Nguyên nhân,C. Là một bước thắng lợi để tiến lên hoàn thành giải phóng dân tộc.,C
